  ilv   flv            5K           10K           20K           30K           50K           80K          100K          150K          200K          300K
   18    16    2.7994E-12    2.6180E-12    1.9471E-12    1.5724E-12    1.2724E-12    1.1955E-12    1.2251E-12    1.3849E-12    1.5814E-12    1.9878E-12
   18    17    4.7997E-12    4.8352E-12    4.6723E-12    4.6820E-12    4.8486E-12    5.0583E-12    5.1577E-12    5.3470E-12    5.5015E-12    5.7490E-12
   19     1    1.0777E-12    9.0286E-13    6.8060E-13    5.8804E-13    5.4808E-13    5.9909E-13    6.5357E-13    7.9765E-13    9.2662E-13    1.1243E-12
   19     2    1.3518E-12    1.0364E-12    7.1721E-13    5.9334E-13    5.1427E-13    5.1433E-13    5.3989E-13    6.3013E-13    7.2500E-13    8.8595E-13
   19     3    3.2702E-12    2.8131E-12    2.2411E-12    2.0512E-12    2.0281E-12    2.1893E-12    2.3147E-12    2.6084E-12    2.8590E-12    3.2497E-12
   19     4    2.2648E-12    2.0829E-12    1.6441E-12    1.3950E-12    1.1535E-12    1.0075E-12    9.6234E-13    9.2080E-13    9.2657E-13    9.9503E-13
   19     5    1.3573E-12    1.3273E-12    1.2092E-12    1.1681E-12    1.1532E-12    1.1494E-12    1.1470E-12    1.1471E-12    1.1582E-12    1.2009E-12
   19     6    2.5752E-12    2.3959E-12    1.9143E-12    1.6552E-12    1.4409E-12    1.3694E-12    1.3737E-12    1.4274E-12    1.4868E-12    1.5764E-12
   19     7    2.5751E-12    2.4721E-12    1.9824E-12    1.6905E-12    1.4163E-12    1.2680E-12    1.2300E-12    1.2131E-12    1.2443E-12    1.3556E-12
   19     8    2.4109E-12    1.9888E-12    1.3416E-12    1.0727E-12    9.1476E-13    9.2844E-13    9.7629E-13    1.1107E-12    1.2301E-12    1.4115E-12
